"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.641666666662786","[16.200000000186265,16.699999999953434,16.699999999720603,21.200000000186265,12.299999999813735,16.600000000325963,16.5999999998603,16.700000000186265,16.699999999720603,16.600000000093132,16.699999999953434,16.699999999953434]","12","RDK","9255","1984933","0.0-0.0-9255.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.641666666662786","[16.300000000046566,16.699999999953434,16.600000000093132,16.800000000046566,16.49999999976717,25.50000000023283,8.199999999953434,16.4000000001397,16.699999999720603,16.700000000186265,16.5999999998603,16.699999999953434]","12","RDK","9256","1985149","0.0-0.0-9256.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","19.98000000002794","[16.4000000001397,50.199999999953434,16.5,16.5,16.800000000046566,15.899999999906868,17.50000000023283,16.699999999953434,16.5999999998603,16.700000000186265]","10","RDK","9257","1985366","0.0-0.0-9257.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.71818181819452","[17.200000000186265,16.5999999998603,16.699999999953434,29.300000000046566,4,16.699999999953434,16.699999999953434,16.699999999953434,16.700000000186265,16.699999999953434,16.600000000093132]","11","RDK","9258","1985582","0.0-0.0-9258.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.47499999999612","[13.699999999953434,17.199999999953434,16.799999999813735,16.700000000186265,16.699999999953434,16.700000000186265,16.5999999998603,24.199999999953434,8.699999999953434,18.300000000046566,15.399999999906868,16.700000000186265]","12","RDK","9259","1985786","0.0-0.0-9259.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.663636363640595","[14.899999999906868,17.200000000186265,16.699999999720603,32.4000000001397,16.9000000001397,17.399999999906868,16.700000000186265,16.699999999720603,16.699999999953434,16.700000000186265,23]","11","RDK","9260","1986006","0.0-0.0-9260.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.672727272718806","[16.5,16.799999999813735,16.700000000186265,16.699999999953434,16.600000000093132,15.699999999953434,25.699999999953434,9,16.199999999953434,16.700000000186265,16.799999999813735]","11","RDK","9261","1986215","0.0-0.0-9261.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.899999999991532","[13.5,16.399999999906868,35.200000000186265,15.099999999860302,16.600000000093132,16.699999999953434,16.699999999953434,16.699999999953434,16.5999999998603,16.800000000279397,16.5999999998603]","11","RDK","9262","1986420","0.0-0.0-9262.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.163636363640595","[16.299999999813735,16.699999999953434,16.800000000046566,34,15.800000000046566,16.800000000046566,16.699999999953434,16.699999999953434,16.700000000186265,16.699999999953434,16.600000000093132]","11","RDK","9263","1986637","0.0-0.0-9263.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.641666666662786","[16.0999999998603,16.800000000279397,16.699999999720603,16.700000000186265,16.5999999998603,16.4000000001397,28.699999999953434,4.5,28.699999999953434,4.399999999906868,16.600000000325963,17.49999999976717]","12","RDK","9264","1986850","0.0-0.0-9264.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.0999999999873","[16.0999999998603,16.699999999953434,16.700000000186265,32.5999999998603,17.4000000001397,16.699999999720603,16.600000000093132,16.699999999953434,16.699999999953434,16.600000000325963,16.299999999813735]","11","RDK","9265","1987067","0.0-0.0-9265.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.163636363619432","[16.399999999906868,16.699999999953434,16.700000000186265,16.799999999813735,16.600000000093132,35.4000000001397,14.5,16.699999999720603,16.700000000186265,16.699999999953434,16.5999999998603]","11","RDK","9266","1987284","0.0-0.0-9266.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.163636363661762","[48.300000000046566,2.4000000001396984,14.699999999953434,17.199999999953434,17.199999999953434,16.600000000093132,16.699999999953434,15.699999999953434,17.600000000093132,16.799999999813735,16.600000000325963]","11","RDK","9267","1987500","0.0-0.0-9267.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.583333333333332","[15.5,16.300000000046566,17,26.600000000093132,6.699999999953434,16.699999999953434,16.699999999953434,16.300000000046566,17.100000000093132,16.699999999953434,16.600000000093132,16.799999999813735]","12","RDK","9268","1987717","0.0-0.0-9268.0"
